               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11121,            0.043746,            0.049727,           0.0015845,             0.06214,           0.0010394,           0.0002717,             0.10631,              0.0382,             0.04466,            0.070025,           0.0033306,           0.0033306
                   1,            0.090446,            0.043347,            0.036132,             0.53045,            0.075552,            0.052945,            0.015253,            0.079769,            0.035292,            0.029496,            0.039893,           0.0065319,           0.0065319
                   2,            0.078714,            0.041321,            0.026253,             0.41823,             0.23227,             0.13343,            0.048739,            0.066954,            0.033609,            0.022615,           0.0096291,           0.0096013,           0.0096013
                   3,            0.070952,            0.039486,            0.021001,             0.58436,             0.26755,             0.24945,            0.097971,            0.058788,            0.030159,            0.017391,            0.009406,            0.009406,            0.009406
                   4,            0.065129,             0.03804,              0.0166,             0.58328,             0.37523,              0.3125,             0.13387,            0.053454,            0.028832,            0.014032,            0.009406,            0.009406,            0.009406
                   5,            0.061182,            0.036404,            0.014326,             0.61396,             0.38879,               0.358,             0.15934,            0.051238,            0.028041,            0.012833,            0.009208,            0.009208,            0.009208
                   6,            0.057652,            0.035944,            0.013001,             0.60312,             0.44169,             0.36917,             0.16779,            0.049349,            0.027252,            0.011837,             0.00901,             0.00901,             0.00901
                   7,            0.055605,            0.034896,            0.012327,             0.50404,              0.4704,             0.39435,             0.17968,            0.047163,             0.02635,            0.011054,            0.008812,            0.008812,            0.008812
                   8,             0.05332,            0.034527,            0.011346,             0.53067,             0.53025,              0.4296,             0.19448,            0.044686,            0.025965,            0.010327,            0.008614,            0.008614,            0.008614
                   9,            0.051805,            0.034701,            0.010756,             0.53667,             0.52199,             0.44704,             0.20131,             0.04377,            0.025551,           0.0096879,            0.008416,            0.008416,            0.008416
                  10,            0.050015,            0.033843,            0.010411,             0.53942,             0.53387,             0.47389,             0.22977,            0.041396,            0.025453,           0.0096296,            0.008218,            0.008218,            0.008218
                  11,            0.049537,            0.034001,           0.0099473,             0.47245,             0.58665,             0.49576,             0.23554,            0.041749,            0.025046,           0.0094727,             0.00802,             0.00802,             0.00802
                  12,            0.048713,            0.033434,           0.0098707,              0.4905,             0.61494,             0.50665,             0.23185,            0.042393,            0.025031,           0.0089808,            0.007822,            0.007822,            0.007822
                  13,            0.047658,            0.032688,            0.009506,             0.45336,             0.67803,             0.52205,             0.25341,            0.040539,            0.024921,           0.0090253,            0.007624,            0.007624,            0.007624
                  14,            0.046604,             0.03306,           0.0093961,             0.46889,             0.64545,             0.51473,             0.25709,            0.039736,            0.024993,           0.0082594,            0.007426,            0.007426,            0.007426
